site,x,y,date,year,month,rainfall,sun_hours,tasmin,tasmax
Raindrop_Wytham,446500,208500,2000-01-16,2000,1,22.422741655276607,81.59829910404454,1.5071098896613648,7.717238841583253
Raindrop_Wytham,446500,208500,2000-02-16,2000,2,86.09857876976022,104.23828705994006,2.943088465014571,9.499260237663245
Raindrop_Wytham,446500,208500,2000-03-16,2000,3,13.694148586147556,111.99195771051899,3.7318513625309846,11.03566407221443
Raindrop_Wytham,446500,208500,2000-04-16,2000,4,167.6355516929832,142.8144399157202,4.149622890179753,11.678892914294421
Raindrop_Wytham,446500,208500,2000-05-16,2000,5,88.51413854425047,189.46733914366604,8.079139289795092,16.60470404283541
Raindrop_Wytham,446500,208500,2000-06-16,2000,6,29.386009637641887,163.53300872470416,11.342921419511766,19.857629428424474
Raindrop_Wytham,446500,208500,2000-07-16,2000,7,28.709478560620727,161.35067509565403,11.533256554734244,20.03615908352912
Raindrop_Wytham,446500,208500,2000-08-16,2000,8,71.33941408913776,207.29770409516007,12.470525253939382,21.92153502956302
Raindrop_Wytham,446500,208500,2000-09-16,2000,9,103.33483038926396,124.94158094319181,11.479009145160886,18.70781676636716
Raindrop_Wytham,446500,208500,2000-10-16,2000,10,133.16223327280915,83.22379691509789,7.5565917250633134,13.61974974996988
Raindrop_Wytham,446500,208500,2000-11-16,2000,11,113.0121771403656,68.95857020114688,4.167515070821317,9.943364716423774
Raindrop_Wytham,446500,208500,2000-12-16,2000,12,133.52300298340964,52.05909334698058,3.6615418781745595,7.894812789227965
Raindrop_Wytham,446500,208500,2001-01-16,2001,1,66.76856551910245,82.86315225837211,0.7053602873473248,5.948370059558426
Raindrop_Wytham,446500,208500,2001-02-16,2001,2,84.46141647509394,84.94996786857652,1.4730154354387106,8.120930578387174
Raindrop_Wytham,446500,208500,2001-03-16,2001,3,81.91174814088987,74.09391395948963,2.6517919980244518,8.35142298386474
Raindrop_Wytham,446500,208500,2001-04-16,2001,4,82.20638858655363,147.51586654904122,4.284213135908214,11.878098725589147
Raindrop_Wytham,446500,208500,2001-05-16,2001,5,37.97376147227777,197.57739541092283,7.568972157861598,17.662430316506697
Raindrop_Wytham,446500,208500,2001-06-16,2001,6,19.77812808751855,225.101081344501,9.913144610760373,19.724507277552657
Raindrop_Wytham,446500,208500,2001-07-16,2001,7,79.17196940468118,204.576085200516,12.834679940791055,22.511893984927735
Raindrop_Wytham,446500,208500,2001-08-16,2001,8,111.40813267930203,182.30625634130286,12.78487686443076,21.77437307573432
Raindrop_Wytham,446500,208500,2001-09-16,2001,9,39.841259310594154,122.14224922154945,10.186815861427164,17.025869791880964
Raindrop_Wytham,446500,208500,2001-10-16,2001,10,100.82468685513588,99.72789568561171,10.732195091661936,16.326293731149804
Raindrop_Wytham,446500,208500,2001-11-16,2001,11,45.55505712938263,86.57932604265184,3.631901460946675,10.559377074536282
