LastName,FirstName,DatasetID,Dataset,SpeciesName,AccSpeciesID,AccSpeciesName,ObservationID,ObsDataID,TraitID,TraitName,DataID,DataName,OriglName,OrigValueStr,OrigUnitStr,ValueKindName,OrigUncertaintyStr,UncertaintyName,Replicates,StdValue,UnitName,RelUncertaintyPercent,OrigObsDataID,ErrorRisk,Reference,Comment,StdValueStr,V29
Shipley,Bill,50,Leaf and Whole Plant Traits Database,Agrimonia eupatoria,1810,Agrimonia eupatoria,94729,1030198,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",258,Leaf dry matter content per leaf water-saturated mass (LDMC),LDMCsat,297,mg/g,Single,4,Standard Error,,0.297,g/g,NA,NA,0.925322,"Kazakou, E., D. Vile, B. Shipley, C. Gallet, and E. Garnier. 2006. Co-variations in litter decomposition, leaf traits and plant growth in species from a Mediterranean old-field succession. Functional Ecology 20:21-30.",LDMCsat (mg/g): leaf dry matter content,,NA
Shipley,Bill,50,Leaf and Whole Plant Traits Database,Cirsium arvense,13016,Cirsium arvense,172161,1800450,55,Leaf dry mass (single leaf),73,Leaf dry mass,dry.mass(g),0.49,g,Single,,,,490,mg,NA,NA,3.17951,unpub.,dry.mass (g): leaf dry weight,,NA
Shipley,Bill,50,Leaf and Whole Plant Traits Database,Cirsium arvense,13016,Cirsium arvense,172161,1800452,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",258,Leaf dry matter content per leaf water-saturated mass (LDMC),LDMC,0.129287598944591,g/g,Single,,,,0.129287598944591,g/g,NA,NA,1.92528,unpub.,LDMC (g/g): leaf dry matter content,,NA
Shipley,Bill,50,Leaf and Whole Plant Traits Database,Cirsium arvense,13016,Cirsium arvense,172162,1800469,55,Leaf dry mass (single leaf),73,Leaf dry mass,dry.mass(g),0.37,g,Single,,,,370,mg,NA,NA,2.66314,unpub.,dry.mass (g): leaf dry weight,,NA
Shipley,Bill,50,Leaf and Whole Plant Traits Database,Cirsium arvense,13016,Cirsium arvense,172162,1800471,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",258,Leaf dry matter content per leaf water-saturated mass (LDMC),LDMC,0.107558139534884,g/g,Single,,,,0.107558139534884,g/g,NA,NA,2.61939,unpub.,LDMC (g/g): leaf dry matter content,,NA
Shipley,Bill,50,Leaf and Whole Plant Traits Database,Cirsium arvense,13016,Cirsium arvense,172163,1800488,55,Leaf dry mass (single leaf),73,Leaf dry mass,dry.mass(g),0.17,g,Single,,,,170,mg,NA,NA,1.25473,unpub.,dry.mass (g): leaf dry weight,,NA
Shipley,Bill,50,Leaf and Whole Plant Traits Database,Cirsium arvense,13016,Cirsium arvense,172163,1800490,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",258,Leaf dry matter content per leaf water-saturated mass (LDMC),LDMC,0.17,g/g,Single,,,,0.17,g/g,NA,NA,1.06508,unpub.,LDMC (g/g): leaf dry matter content,,NA
Shipley,Bill,50,Leaf and Whole Plant Traits Database,Cirsium arvense,13016,Cirsium arvense,172164,1800507,55,Leaf dry mass (single leaf),73,Leaf dry mass,dry.mass(g),0.13,g,Single,,,,130,mg,NA,NA,1.07411,unpub.,dry.mass (g): leaf dry weight,,NA
Shipley,Bill,50,Leaf and Whole Plant Traits Database,Cirsium arvense,13016,Cirsium arvense,172164,1800509,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",258,Leaf dry matter content per leaf water-saturated mass (LDMC),LDMC,0.156626506024096,g/g,Single,,,,0.156626506024096,g/g,NA,NA,1.24666,unpub.,LDMC (g/g): leaf dry matter content,,NA
Shipley,Bill,50,Leaf and Whole Plant Traits Database,Cirsium arvense,13016,Cirsium arvense,172165,1800526,55,Leaf dry mass (single leaf),73,Leaf dry mass,dry.mass(g),0.16,g,Single,,,,160,mg,NA,NA,1.21391,unpub.,dry.mass (g): leaf dry weight,,NA
