Site,Treatment,Block,Plot_nos,Individual_nos,Species,Date,Time_point,Survival,SLA,LMA,LDMC,Height,Width_1,Width_2,,Leaves,Flower,RS,Seed,Notes_1,Notes_2,,Phenological stage,,R/N-R
Wytham,CONT,A,NA,1,BS,14/04/2025,April,yes,25.42253521,0.03933518,292.7835052,13,NA,NA,,not_countable,NA,None,None,,,,0,,Non-reproductive
Wytham,CONT,A,NA,2,BS,14/04/2025,April,yes,26.72268908,0.037421384,371.875,8,NA,NA,,not_countable,NA,None,None,,,,0,,Non-reproductive
Wytham,CONT,B,NA,1,BS,14/04/2025,April,yes,40,0.025,168.1818182,10,32,13,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,CONT,B,NA,2,BS,14/04/2025,April,yes,34.6835443,0.028832117,376.1904762,13,23,17,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,CONT,D,NA,1,BS,14/04/2025,April,yes,39.26470588,0.025468165,453.3333333,12,17,15,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,CONT,D,NA,2,BS,14/04/2025,April,yes,16.64,0.060096154,568.1818182,10,20,12,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,CONT,E,NA,1,BS,14/04/2025,April,yes,37.41573034,0.026726727,423.8095238,10,13,10,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,CONT,E,NA,2,BS,14/04/2025,April,yes,28.02631579,0.035680751,281.4814815,10,29,21,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,DIST,B,NA,1,BS,14/04/2025,April,yes,9.497716895,0.105288462,995.4545455,4,9,6,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,DIST,B,NA,2,BS,14/04/2025,April,yes,25.03759398,0.03993994,633.3333333,11,14,10,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,DIST,D,NA,1,BS,14/04/2025,April,yes,18.68421053,0.053521127,422.2222222,4,13,13,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,DIST,D,NA,2,BS,14/04/2025,April,yes,57.05263158,0.017527675,143.9393939,10,16,15,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,NPK,A,NA,1,BS,14/04/2025,April,yes,26.28099174,0.038050314,318.4210526,10,17,17,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,NPK,A,NA,2,BS,14/04/2025,April,yes,24.32432432,0.041111111,317.1428571,13,19,16,,not_countable,None,None,None,,,,0,,Non-reproductive
Wytham,NPK,B,NA,1,BS,14/04/2025,April,yes,31.14285714,0.032110092,368.4210526,6,7,6,,not_countable,None,None,None,,,,0,,Non-reproductive
