Site,Treatment,Date,Time_point,Species,Individual_nos,Width_1,Width_2,Height,Number_leaves,Repro_notes,Leaf_nos,Leaf_weight_wet_g ,Leaf_area_cm_2,Method_leaf_app,Spec_number,Spec_date,Spec_filename,Wet_chem_nos,Leaf_weight_dry_g,NOTES_1,NOTES_2,NOTES_3,NOTES_4,Demo_matched,
Ainsdale,CONT,23/05/2025,T1,MA,1,3,2,6,16,None,L1,0.022,1.02,Leaf_scan,9,230525,HR.230525.0009.sig,4,0.0065,,,,,,
Ainsdale,CONT,23/05/2025,T1,MA,1,3,2,6,16,None,L2,0.018,0.83,Leaf_scan,11,230525,HR.230525.0011.sig,4,0.0049,,,,,,
Ainsdale,CONT,23/05/2025,T1,MA,1,3,2,6,16,None,L3,0.018,0.61,Leaf_scan,12,230525,HR.230525.0012.sig,4,0.0046,,,,,,
Ainsdale,CONT,23/05/2025,T1,MA,2,4,2,15,12,None,L1,0.055,2.67,Leaf_scan,13,230525,HR.230525.0013.sig,5,0.0106,,,,,,
Ainsdale,CONT,23/05/2025,T1,MA,2,4,2,15,12,None,L2,0.034,1.79,Leaf_scan,14,230525,HR.230525.0014.sig,5,0.007,,,,,,
Ainsdale,CONT,23/05/2025,T1,MA,2,4,2,15,12,None,L3,0.011,0.65,Leaf_scan,15,230525,HR.230525.0015.sig,5,0.0034,,,,,,
Ainsdale,CONT,23/05/2025,T1,MA,3,3,2,7,16,None,L1,0.035,1.6,Leaf_scan,16,230525,HR.230525.0016.sig,6,0.0083,,,,,,
Ainsdale,CONT,23/05/2025,T1,MA,3,3,2,7,16,None,L2,0.034,1.55,Leaf_scan,17,230525,HR.230525.0017.sig,6,0.0073,,,,,,
Ainsdale,CONT,23/05/2025,T1,MA,3,3,2,7,16,None,L3,0.025,1.01,Leaf_scan,18,230525,HR.230525.0018.sig,6,0.0069,,,,,,
Ainsdale,DIST,23/05/2025,T1,MA,4,3,1,3.5,12,None,L1,0.026,1.12,Leaf_scan,19,230525,HR.230525.0019.sig,7,0.0057,,,,,,
Ainsdale,DIST,23/05/2025,T1,MA,4,3,1,3.5,12,None,L2,0.033,1.16,Leaf_scan,20,230525,HR.230525.0020.sig,7,0.0067,,,,,,
Ainsdale,DIST,23/05/2025,T1,MA,4,3,1,3.5,12,None,L3,0.02,0.66,Leaf_scan,21,230525,HR.230525.0021.sig,7,0.0045,,,,,,
Ainsdale,DIST,23/05/2025,T1,MA,5,3,1.5,3.5,12,None,L1,0.026,1.08,Leaf_scan,22,230525,HR.230525.0022.sig,8,0.0059,,,,,,
Ainsdale,DIST,23/05/2025,T1,MA,5,3,1.5,3.5,12,None,L2,0.028,0.79,Leaf_scan,23,230525,HR.230525.0023.sig,8,0.0049,,,,,,
Ainsdale,DIST,23/05/2025,T1,MA,5,3,1.5,3.5,12,None,L3,0.016,0.53,Leaf_scan,24,230525,HR.230525.0024.sig,8,0.0034,,,,,,
Ainsdale,DIST,23/05/2025,T1,MA,6,3,1.5,3.5,10,None,L1,0.035,1.03,Leaf_scan,25,230525,HR.230525.0025.sig,9,0.0052,,,,,,
Ainsdale,DIST,23/05/2025,T1,MA,6,3,1.5,3.5,10,None,L2,0.025,0.86,Leaf_scan,26,230525,HR.230525.0026.sig,9,0.0047,,,,,,
Ainsdale,DIST,23/05/2025,T1,MA,6,3,1.5,3.5,10,None,L3,0.019,0.237,Image_J,27,230525,HR.230525.0027.sig,9,0.0033,,,,,,
Ainsdale,CONT,20/06/2025,T2,MA,1,3.5,3,14,19,None,L1,0.047,2.673,Image_J,72,200625,HR.200625.0072.sig,121,0.0133,,,,,,
Ainsdale,CONT,20/06/2025,T2,MA,1,3.5,3,14,19,None,L2,0.066,2.907,Image_J,73,200625,HR.200625.0073.sig,121,0.0135,,,,,,
Ainsdale,CONT,20/06/2025,T2,MA,1,3.5,3,14,19,None,L3,0.048,2.712,Image_J,74,200625,HR.200625.0074.sig,121,0.0136,,,,,,
Ainsdale,CONT,20/06/2025,T2,MA,2,3.5,2.5,10,20,None,L1,0.042,1.59,Leaf_scan,75,200625,HR.200625.0075.sig,122,0.0108,,,,,,
Ainsdale,CONT,20/06/2025,T2,MA,2,3.5,2.5,10,20,None,L2,0.047,1.62,Leaf_scan,76,200625,HR.200625.0076.sig,122,0.0109,,,,,,
Ainsdale,CONT,20/06/2025,T2,MA,2,3.5,2.5,10,20,None,L3,0.043,1.16,Leaf_scan,77,200625,HR.200625.0077.sig,122,0.0102,,,,,,
Ainsdale,CONT,20/06/2025,T2,MA,3,3,2,17,18,None,L1,0.058,2.45,Leaf_scan,78,200625,HR.200625.0078.sig,123,0.0125,,,,,,
Ainsdale,CONT,20/06/2025,T2,MA,3,3,2,17,18,None,L2,0.06,2.38,Leaf_scan,79,200625,HR.200625.0079.sig,123,0.0134,,,,,,
Ainsdale,CONT,20/06/2025,T2,MA,3,3,2,17,18,None,L3,0.025,1.15,Leaf_scan,80,200625,HR.200625.0080.sig,123,0.0066,,,,,,
Ainsdale,DIST,20/06/2025,T2,MA,4,2,2,6,12,None,L1,0.04,1.7,Leaf_scan,81,200625,HR.200625.0081.sig,124,0.0074,,,,,,
Ainsdale,DIST,20/06/2025,T2,MA,4,2,2,6,12,None,L2,0.018,1.06,Leaf_scan,82,200625,HR.200625.0082.sig,124,0.0096,,,,,,
Ainsdale,DIST,20/06/2025,T2,MA,4,2,2,6,12,None,L3,0.019,0.81,Leaf_scan,83,200625,HR.200625.0083.sig,124,0.0035,,,,,,
Ainsdale,DIST,20/06/2025,T2,MA,5,3,1.5,5,9,None,L1,0.025,1.28,Leaf_scan,NA,200625,HR.200625.00NA.sig,125,0.0058,,,SVC ran out of battery (hot weather),,,
Ainsdale,DIST,20/06/2025,T2,MA,5,3,1.5,5,9,None,L2,0.045,1.14,Leaf_scan,NA,200625,HR.200625.00NA.sig,125,0.0054,,,SVC ran out of battery (hot weather),,,
Ainsdale,DIST,20/06/2025,T2,MA,5,3,1.5,5,9,None,L3,0.013,0.7,Leaf_scan,NA,200625,HR.200625.00NA.sig,125,0.0029,,,SVC ran out of battery (hot weather),,,
Ainsdale,DIST,20/06/2025,T2,MA,6,2,2,6.5,11,None,L1,0.037,1.06,Leaf_scan,NA,200625,HR.200625.00NA.sig,216,0.0058,,,SVC ran out of battery (hot weather),,,
Ainsdale,DIST,20/06/2025,T2,MA,6,2,2,6.5,11,None,L2,0.03,1.02,Leaf_scan,NA,200625,HR.200625.00NA.sig,126,0.005,,,SVC ran out of battery (hot weather),,,
Ainsdale,DIST,20/06/2025,T2,MA,6,2,2,6.5,11,None,L3,0.021,0.9,Leaf_scan,NA,200625,HR.200625.00NA.sig,126,0.0049,,,SVC ran out of battery (hot weather),,,
