Site,Treatment,Date,Time_point,Species,Individual_nos,Leaf_weight_wet_g,Leaf_area_cm_2,Leaf_weight_dry_g,Leaf_area_mm_2,Leaf_area_m_2,Leaf_weight_dry_mg,Leaf_weight_wet_mg,Trait_name,Trait_value,data_set,is_outlier
Ainsdale,CONT,23/05/2025,T1,MA,1,0.022,1.02,0.006500000000000001,10.2,1.02e-4,6.500000000000001,22,LMA,6.372549019607844,field,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,1,0.022,1.02,0.006500000000000001,10.2,1.02e-4,6.500000000000001,22,LDMC,0.29545454545454547,field,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,1,0.022,1.02,0.006500000000000001,10.2,1.02e-4,6.500000000000001,22,LWC,0.7045454545454546,field,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,1,0.022,1.02,0.006500000000000001,10.2,1.02e-4,6.500000000000001,22,EWT,0.015196078431372547,field,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,1,0.018000000000000002,0.8300000000000001,0.0049,8.3,8.300000000000001e-5,4.8999999999999995,18.000000000000004,LMA,5.903614457831324,field,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,1,0.018000000000000002,0.8300000000000001,0.0049,8.3,8.300000000000001e-5,4.8999999999999995,18.000000000000004,LDMC,0.27222222222222214,field,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,1,0.018000000000000002,0.8300000000000001,0.0049,8.3,8.300000000000001e-5,4.8999999999999995,18.000000000000004,LWC,0.7277777777777779,field,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,1,0.018000000000000002,0.8300000000000001,0.0049,8.3,8.300000000000001e-5,4.8999999999999995,18.000000000000004,EWT,0.015783132530120484,field,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,1,0.018000000000000002,0.61,0.0046,6.1,6.1e-5,4.6,18.000000000000004,LMA,7.5409836065573765,field,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,1,0.018000000000000002,0.61,0.0046,6.1,6.1e-5,4.6,18.000000000000004,LDMC,0.2555555555555555,field,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,1,0.018000000000000002,0.61,0.0046,6.1,6.1e-5,4.6,18.000000000000004,LWC,0.7444444444444445,field,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,1,0.018000000000000002,0.61,0.0046,6.1,6.1e-5,4.6,18.000000000000004,EWT,0.021967213114754105,field,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,2,0.055,2.67,0.0106,26.7,2.67e-4,10.6,55,LMA,3.9700374531835205,field,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,2,0.055,2.67,0.0106,26.7,2.67e-4,10.6,55,LDMC,0.19272727272727272,field,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,2,0.055,2.67,0.0106,26.7,2.67e-4,10.6,55,LWC,0.8072727272727273,field,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,2,0.055,2.67,0.0106,26.7,2.67e-4,10.6,55,EWT,0.01662921348314607,field,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,2,0.034,1.79,0.007,17.9,1.7900000000000001e-4,7,34,LMA,3.910614525139665,field,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,2,0.034,1.79,0.007,17.9,1.7900000000000001e-4,7,34,LDMC,0.20588235294117646,field,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,2,0.034,1.79,0.007,17.9,1.7900000000000001e-4,7,34,LWC,0.7941176470588235,field,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,2,0.034,1.79,0.007,17.9,1.7900000000000001e-4,7,34,EWT,0.015083798882681567,field,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,2,0.011,0.65,0.0034000000000000002,6.5,6.500000000000001e-5,3.4000000000000004,11,LMA,5.230769230769231,field,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,2,0.011,0.65,0.0034000000000000002,6.5,6.500000000000001e-5,3.4000000000000004,11,LDMC,0.30909090909090914,field,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,2,0.011,0.65,0.0034000000000000002,6.5,6.500000000000001e-5,3.4000000000000004,11,LWC,0.6909090909090909,field,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,2,0.011,0.65,0.0034000000000000002,6.5,6.500000000000001e-5,3.4000000000000004,11,EWT,0.01169230769230769,field,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,3,0.034999999999999996,1.6,0.0083,16,1.6e-4,8.3,34.99999999999999,LMA,5.1875,field,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,3,0.034999999999999996,1.6,0.0083,16,1.6e-4,8.3,34.99999999999999,LDMC,0.2371428571428572,field,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,3,0.034999999999999996,1.6,0.0083,16,1.6e-4,8.3,34.99999999999999,LWC,0.7628571428571428,field,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,3,0.034999999999999996,1.6,0.0083,16,1.6e-4,8.3,34.99999999999999,EWT,0.016687499999999994,field,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,3,0.034,1.55,0.0073,15.5,1.55e-4,7.3,34,LMA,4.709677419354838,field,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,3,0.034,1.55,0.0073,15.5,1.55e-4,7.3,34,LDMC,0.21470588235294116,field,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,3,0.034,1.55,0.0073,15.5,1.55e-4,7.3,34,LWC,0.7852941176470588,field,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,3,0.034,1.55,0.0073,15.5,1.55e-4,7.3,34,EWT,0.017225806451612907,field,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,3,0.025,1.01,0.0069,10.1,1.01e-4,6.8999999999999995,25,LMA,6.8316831683168315,field,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,3,0.025,1.01,0.0069,10.1,1.01e-4,6.8999999999999995,25,LDMC,0.27599999999999997,field,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,3,0.025,1.01,0.0069,10.1,1.01e-4,6.8999999999999995,25,LWC,0.7240000000000001,field,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,3,0.025,1.01,0.0069,10.1,1.01e-4,6.8999999999999995,25,EWT,0.017920792079207923,field,FALSE
Ainsdale,DIST,23/05/2025,T1,MA,4,0.026000000000000002,1.12,0.0057,11.200000000000001,1.1200000000000001e-4,5.7,26.000000000000004,LMA,5.0892857142857135,field,FALSE
Ainsdale,DIST,23/05/2025,T1,MA,4,0.026000000000000002,1.12,0.0057,11.200000000000001,1.1200000000000001e-4,5.7,26.000000000000004,LDMC,0.2192307692307692,field,FALSE
Ainsdale,DIST,23/05/2025,T1,MA,4,0.026000000000000002,1.12,0.0057,11.200000000000001,1.1200000000000001e-4,5.7,26.000000000000004,LWC,0.7807692307692309,field,FALSE
Ainsdale,DIST,23/05/2025,T1,MA,4,0.026000000000000002,1.12,0.0057,11.200000000000001,1.1200000000000001e-4,5.7,26.000000000000004,EWT,0.018125000000000002,field,FALSE
Ainsdale,DIST,23/05/2025,T1,MA,4,0.033,1.1600000000000001,0.0067,11.600000000000001,1.1600000000000001e-4,6.7,33,LMA,5.775862068965517,field,FALSE
Ainsdale,DIST,23/05/2025,T1,MA,4,0.033,1.1600000000000001,0.0067,11.600000000000001,1.1600000000000001e-4,6.7,33,LDMC,0.20303030303030303,field,FALSE
Ainsdale,DIST,23/05/2025,T1,MA,4,0.033,1.1600000000000001,0.0067,11.600000000000001,1.1600000000000001e-4,6.7,33,LWC,0.796969696969697,field,FALSE
Ainsdale,DIST,23/05/2025,T1,MA,4,0.033,1.1600000000000001,0.0067,11.600000000000001,1.1600000000000001e-4,6.7,33,EWT,0.022672413793103446,field,FALSE
Ainsdale,DIST,23/05/2025,T1,MA,4,0.02,0.6599999999999999,0.0045000000000000005,6.6,6.599999999999999e-5,4.500000000000001,20,LMA,6.81818181818182,field,FALSE
Ainsdale,DIST,23/05/2025,T1,MA,4,0.02,0.6599999999999999,0.0045000000000000005,6.6,6.599999999999999e-5,4.500000000000001,20,LDMC,0.22500000000000003,field,FALSE
Ainsdale,DIST,23/05/2025,T1,MA,4,0.02,0.6599999999999999,0.0045000000000000005,6.6,6.599999999999999e-5,4.500000000000001,20,LWC,0.775,field,FALSE
Ainsdale,DIST,23/05/2025,T1,MA,4,0.02,0.6599999999999999,0.0045000000000000005,6.6,6.599999999999999e-5,4.500000000000001,20,EWT,0.023484848484848487,field,FALSE
Ainsdale,DIST,23/05/2025,T1,MA,5,0.026000000000000002,1.08,0.0059,10.8,1.0800000000000001e-4,5.8999999999999995,26.000000000000004,LMA,5.462962962962962,field,FALSE
Ainsdale,DIST,23/05/2025,T1,MA,5,0.026000000000000002,1.08,0.0059,10.8,1.0800000000000001e-4,5.8999999999999995,26.000000000000004,LDMC,0.22692307692307687,field,FALSE
