Site,Treatment,Date,Time_point,Species,Individual_nos,Trait_name,Trait_value,is_outlier
Ainsdale,CONT,23/05/2025,T1,MA,1,LMA,6.372549019607844,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,1,LDMC,0.29545454545454547,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,1,LWC,0.7045454545454546,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,1,EWT,0.015196078431372547,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,1,LMA,5.903614457831324,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,1,LDMC,0.27222222222222214,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,1,LWC,0.7277777777777779,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,1,EWT,0.015783132530120484,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,1,LMA,7.5409836065573765,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,1,LDMC,0.2555555555555555,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,1,LWC,0.7444444444444445,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,1,EWT,0.021967213114754105,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,2,LMA,3.9700374531835205,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,2,LDMC,0.19272727272727272,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,2,LWC,0.8072727272727273,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,2,EWT,0.01662921348314607,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,2,LMA,3.910614525139665,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,2,LDMC,0.20588235294117646,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,2,LWC,0.7941176470588235,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,2,EWT,0.015083798882681567,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,2,LMA,5.230769230769231,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,2,LDMC,0.30909090909090914,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,2,LWC,0.6909090909090909,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,2,EWT,0.01169230769230769,FALSE
Ainsdale,CONT,23/05/2025,T1,MA,3,LMA,5.1875,FALSE
