date,rainfall,site,year,month,tasmin,tasmax
2024-01-16,80.0712890625,Wytham,2024,1,1.99609375,7.53515625
2024-02-16,149.630859375,Wytham,2024,2,5.2001953125,10.947265625
2024-03-16,96.7470703125,Wytham,2024,3,5.037109375,11.7626953125
2024-04-16,71.513671875,Wytham,2024,4,6.1201171875,13.591796875
2024-05-16,86.8076171875,Wytham,2024,5,9.6552734375,18.302734375
2024-06-16,16.4541015625,Wytham,2024,6,9.5849609375,19.9365234375
2024-07-16,84.685546875,Wytham,2024,7,12.1787109375,21.6630859375
2024-08-16,45.259765625,Wytham,2024,8,12.9169921875,22.341796875
2024-09-16,198.224609375,Wytham,2024,9,10.6708984375,18.2353515625
2024-10-16,85.8408203125,Wytham,2024,10,8.357421875,14.92578125
2024-11-16,77.484375,Wytham,2024,11,4.8466796875,10.03515625
2024-12-16,52.10546875,Wytham,2024,12,4.7880859375,8.865234375
2024-01-16,95.24893973214286,Ainsdale,2024,1,2.9285993303571427,7.765931919642857
2024-02-16,115.44017857142858,Ainsdale,2024,2,5.220368303571429,10.062137276785714
2024-03-16,86.27321428571429,Ainsdale,2024,3,5.3537667410714285,10.850334821428572
2024-04-16,69.30089285714286,Ainsdale,2024,4,6.735407366071429,12.443052455357142
2024-05-16,90.98484933035715,Ainsdale,2024,5,11.160212053571428,17.795145089285715
2024-06-16,47.40901227678572,Ainsdale,2024,6,11.248465401785714,17.00619419642857
2024-07-16,85.00853794642856,Ainsdale,2024,7,12.498297991071428,19.090876116071428
2024-08-16,59.153878348214285,Ainsdale,2024,8,13.950948660714285,19.508761160714286
2024-09-16,139.76771763392858,Ainsdale,2024,9,10.886830357142857,17.0744140625
2024-10-16,92.97737165178572,Ainsdale,2024,10,9.0291015625,14.813392857142857
2024-11-16,66.2173828125,Ainsdale,2024,11,5.347014508928571,10.535825892857142
2024-12-16,114.78250558035714,Ainsdale,2024,12,5.756026785714286,9.727176339285714
2024-01-16,144.680908203125,Hazelrigg,2024,1,2.297119140625,7.08056640625
2024-02-16,129.65771484375,Hazelrigg,2024,2,4.646240234375,9.375732421875
2024-03-16,110.8095703125,Hazelrigg,2024,3,4.72021484375,10.351806640625
2024-04-16,97.119873046875,Hazelrigg,2024,4,5.556640625,12.019287109375
2024-05-16,108.185791015625,Hazelrigg,2024,5,10.677734375,17.462890625
2024-06-16,68.086181640625,Hazelrigg,2024,6,10.26806640625,16.453125
2024-07-16,58.8115234375,Hazelrigg,2024,7,11.942138671875,18.3564453125
2024-08-16,111.02587890625,Hazelrigg,2024,8,12.965576171875,18.590087890625
2024-09-16,158.569091796875,Hazelrigg,2024,9,10.394775390625,16.432861328125
2024-10-16,149.073486328125,Hazelrigg,2024,10,8.644775390625,14.182373046875
2024-11-16,95.155029296875,Hazelrigg,2024,11,4.321044921875,9.72998046875
2024-12-16,164.840576171875,Hazelrigg,2024,12,4.8466796875,8.947265625
